,date,date,T,T,T,T,pre_T,pre_T,pre_T,R,R,R,R,pre_R,pre_R,pre_R,pre_R,TD,TD,V,pre_V
,min,max,max,mean,std,count,max,mean,std,max,min,mean,std,max,min,mean,std,max,mean,mean,mean
event,,,,,,,,,,,,,,,,,,,,,
CPI,2014-06-17 07:30:00,2019-03-12 07:30:00,13.0,6.163793103448276,3.019509561423933,58,4.0,1.456896551724138,0.7271940953202264,0.000794912559618442,-0.0008055657268399854,-4.459433930085073e-05,0.0003561513126413362,0.00028839221341023794,-0.00014281633818908883,9.325973539493554e-06,7.27678334274379e-05,11836296.875,2702720.6357758623,23554.724137931036,2771.137931034483
Consumer Confidence,2014-08-26 09:00:00,2019-02-26 09:00:00,12.0,2.292452830188679,1.542456713842685,53,3.0,1.7924528301886793,0.6681918933854755,0.00021448487881604343,-0.00035630300007126063,-1.0074395383436639e-05,9.966963112548367e-05,0.00014825796886582654,-0.0001477213974444198,-1.3687782487182194e-07,7.113934675976759e-05,6412312.5,432073.40801886795,9862.735849056604,5467.11320754717
Durable Goods,2014-07-25 07:30:00,2019-03-13 07:30:00,8.0,3.2232142857142856,1.7344625650645764,56,6.0,1.4107142857142858,0.9347199038756469,0.0004272591326639607,-0.000427594070695553,-8.518571992728678e-07,0.00014759162196965382,0.00021500752526338422,-0.0002849002849002849,-1.403318307934108e-05,7.993229514636482e-05,3662125.0,730335.6584821428,12234.910714285714,2768.0535714285716
FOMC,2014-06-16 19:00:00,2019-02-20 13:00:00,45.0,8.537037037037036,8.07386410718213,54,3.0,1.5462962962962963,0.6748061812477527,0.0014486455164421266,-0.0010814708002883922,9.800115787549549e-05,0.00046733927111507076,0.00021578076674099117,-0.0001441753171856978,2.0222159159275163e-05,8.023250101965969e-05,29000390.625,4152502.025462963,22338.185185185186,4129.092592592592
Gross Domestic Product,2014-05-29 07:30:00,2019-02-28 07:30:00,10.0,3.9782608695652173,2.0921985292964758,46,2.0,0.9891304347826086,0.6367376089164953,0.0004274722143060701,-0.0005150277747121363,-5.235102598999554e-05,0.00018511470309069095,7.408504963698325e-05,-7.345919341805627e-05,-5.991573988603872e-07,4.342887543922556e-05,4632500.0,982505.4347826086,13979.45652173913,2075.6739130434785
ISM Manufacturing,2014-07-01 09:00:00,2019-03-01 09:00:00,10.0,3.8771929824561404,1.930212566371498,57,4.0,1.7543859649122806,0.6347300256910685,0.0005888414544383925,-0.0005018640665328363,-2.385731589760814e-05,0.0002276423841996839,0.0002144082332761578,-0.00021445421402530558,-2.411405841113419e-05,7.523786580971713e-05,4663710.9375,1076422.971491228,15534.508771929824,5774.789473684211
ISM Non-Manufacturing,2014-08-05 09:00:00,2019-03-05 09:00:00,12.0,3.481818181818182,1.95069701779104,55,8.0,1.7272727272727273,1.2353518835110406,0.0007159221076746848,-0.0004296455424274973,-4.5502749560882864e-05,0.00018672287688881157,0.0005177897773503957,-0.00014714537963507945,1.5219470592945577e-05,0.00011412701690483306,4315718.75,857708.5227272727,13379.418181818182,6504.454545454545
Non-farm Payrolls,2014-06-06 07:30:00,2019-03-08 07:30:00,35.0,13.21551724137931,7.339577924767376,58,3.0,1.25,0.6159431507146426,0.002069359212216355,-0.0015743523686847002,-4.545069493259714e-05,0.0007074926253170707,0.0001447178002894356,-0.0002146536920435032,7.4627442255830665e-06,6.279932991754617e-05,51652375.0,9077890.490301725,36960.275862068964,2165.206896551724
Retail Sales,2014-07-15 07:30:00,2019-03-11 07:30:00,14.0,6.525862068965517,3.718637759672055,58,4.0,1.4224137931034482,0.7768680041981157,0.0008594141660101698,-0.0008055657268399854,7.291752579170349e-05,0.00039106813664268247,0.00028839221341023794,-0.00021419391689276023,1.06651069077983e-05,7.941970069485521e-05,11836296.875,2853951.3739224137,22451.689655172413,2505.4655172413795
