I  , EVENT                    ,  pR:1s/as,  acc1sd,  accall, n1sd, nall,   r21sd,   r2all
ES , CPI                      ,      3.76, 0.75000, 0.56897,    4,   58, 0.04636, 0.00155
ES , Consumer Confidence      ,      0.37, 0.62500, 0.50943,    8,   53, 0.16557, 0.10262
ES , Durable Goods            ,      9.70, 0.71429, 0.66071,    7,   56, 0.05847, 0.00724
ES , FOMC                     ,      5.91, 0.75000, 0.64815,    4,   54, 0.62223, 0.06968
ES , Gross Domestic Product   ,      3.35, 0.77778, 0.56522,    9,   46, 0.03192, 0.01265
ES , ISM Manufacturing        ,      1.74, 0.55556, 0.56140,    9,   57, 0.02050, 0.01695
ES , ISM Non-Manufacturing    ,      0.55, 0.66667, 0.70909,    6,   55, 0.04659, 0.00408
ES , Non-farm Payrolls        ,      2.52, 0.60000, 0.50000,    5,   58, 0.46738, 0.00127
TU , CPI                      ,      2.31, 0.70000, 0.60345,   10,   58, 0.00765, 0.00474
TU , Consumer Confidence      ,    263.29, 0.50000, 0.69811,    2,   53, 1.00000, 0.00214
TU , Durable Goods            ,      4.06, 0.60000, 0.64286,   10,   56, 0.02864, 0.00132
TU , FOMC                     ,      2.38, 0.83333, 0.53704,    6,   54, 0.24835, 0.01273
TU , Gross Domestic Product   ,     42.77, 0.57143, 0.78261,    7,   46, 0.00612, 0.01019
TU , ISM Manufacturing        ,      1.83, 0.66667, 0.61404,    9,   57, 0.34697, 0.04003
TU , ISM Non-Manufacturing    ,      0.83, 0.66667, 0.72727,    6,   55, 0.00029, 0.01258
TU , Non-farm Payrolls        ,      4.10, 0.71429, 0.50000,    7,   58, 0.64194, 0.08205
TU , Retail Sales             ,      2.43, 0.81818, 0.56897,   11,   58, 0.02167, 0.04277
UB , CPI                      ,     21.12, 0.75000, 0.50000,    8,   58, 0.25874, 0.02376
UB , Consumer Confidence      ,     21.71, 0.75000, 0.62264,    4,   53, 0.13078, 0.01161
UB , Durable Goods            ,      3.46, 0.62500, 0.55357,    8,   56, 0.25170, 0.00084
UB , FOMC                     ,      0.89, 0.66667, 0.51852,    9,   54, 0.02563, 0.01748
UB , Gross Domestic Product   ,      0.01, 0.57143, 0.52174,    7,   46, 0.02576, 0.00112
UB , ISM Manufacturing        ,      2.10, 0.70000, 0.54386,   10,   57, 0.06985, 0.00485
UB , ISM Non-Manufacturing    ,      6.50, 0.66667, 0.60000,    6,   55, 0.15934, 0.00206
UB , Non-farm Payrolls        ,      4.55, 0.77778, 0.62069,    9,   58, 0.10299, 0.01771
UB , Retail Sales             ,      5.19, 0.80000, 0.53448,   10,   58, 0.01440, 0.00069
